"날짜","종가","오픈","고가","저가","변동 %"
"2018년 04월 05일","1,300.66","1,299.46","1,308.01","1,297.33","0.10%"
"2018년 04월 04일","1,299.36","1,294.41","1,310.77","1,293.77","0.38%"
"2018년 04월 03일","1,294.46","1,300.36","1,304.38","1,293.21","-0.47%"
"2018년 04월 02일","1,300.52","1,307.14","1,309.19","1,297.96","-0.55%"
"2018년 03월 30일","1,307.73","1,307.53","1,313.06","1,306.87","0.00%"
"2018년 03월 29일","1,307.69","1,310.36","1,317.16","1,304.17","-0.20%"
"2018년 03월 28일","1,310.25","1,333.48","1,335.24","1,308.27","-1.74%"
"2018년 03월 27일","1,333.49","1,338.59","1,340.81","1,328.14","-0.37%"
"2018년 03월 26일","1,338.43","1,338.10","1,343.45","1,333.99","-0.04%"
"2018년 03월 23일","1,338.90","1,330.12","1,344.23","1,326.97","0.66%"
"2018년 03월 22일","1,330.11","1,314.18","1,332.54","1,313.68","1.25%"
"2018년 03월 21일","1,313.69","1,311.74","1,318.54","1,311.14","0.11%"
"2018년 03월 20일","1,312.23","1,324.14","1,326.53","1,311.92","-0.90%"
"2018년 03월 19일","1,324.15","1,315.06","1,327.57","1,312.91","0.65%"
"2018년 03월 16일","1,315.63","1,316.40","1,320.19","1,310.27","-0.05%"
"2018년 03월 15일","1,316.30","1,316.37","1,322.94","1,313.15","-0.02%"
"2018년 03월 14일","1,316.53","1,321.96","1,325.87","1,312.75","-0.40%"
"2018년 03월 13일","1,321.86","1,313.82","1,324.45","1,311.97","0.62%"
"2018년 03월 12일","1,313.70","1,311.69","1,317.11","1,308.92","0.19%"
"2018년 03월 09일","1,311.16","1,322.44","1,323.55","1,309.96","-0.85%"
"2018년 03월 08일","1,322.44","1,325.10","1,332.61","1,320.93","-0.18%"
"2018년 03월 07일","1,324.79","1,319.74","1,330.57","1,319.74","0.38%"
"2018년 03월 06일","1,319.73","1,329.41","1,330.82","1,315.93","-0.73%"
"2018년 03월 05일","1,329.42","1,330.38","1,334.92","1,326.52","-0.04%"
"2018년 03월 02일","1,329.91","1,328.38","1,337.33","1,320.54","0.12%"
"2018년 03월 01일","1,328.37","1,323.27","1,330.67","1,318.06","0.38%"
"2018년 02월 28일","1,323.31","1,323.05","1,326.28","1,318.19","0.03%"
"2018년 02월 27일","1,322.94","1,318.74","1,325.32","1,315.49","0.31%"
"2018년 02월 26일","1,318.81","1,324.56","1,325.34","1,315.09","-0.39%"
"2018년 02월 23일","1,324.01","1,332.36","1,334.11","1,322.65","-0.64%"
"2018년 02월 22일","1,332.59","1,321.62","1,334.81","1,320.72","0.82%"
"2018년 02월 21일","1,321.78","1,326.33","1,328.87","1,319.56","-0.34%"
"2018년 02월 20일","1,326.23","1,324.55","1,330.53","1,322.40","0.14%"
"2018년 02월 19일","1,324.39","1,324.22","1,330.23","1,320.06","0.03%"
"2018년 02월 16일","1,323.96","1,330.81","1,335.54","1,322.76","-0.52%"
"2018년 02월 15일","1,330.82","1,333.17","1,340.07","1,327.94","-0.19%"
"2018년 02월 14일","1,333.29","1,340.27","1,341.57","1,325.16","-0.52%"
"2018년 02월 13일","1,340.26","1,330.85","1,342.44","1,329.12","0.72%"
"2018년 02월 12일","1,330.73","1,330.28","1,334.57","1,326.09","0.18%"
"2018년 02월 09일","1,328.32","1,344.20","1,346.96","1,328.21","-1.18%"
"2018년 02월 08일","1,344.20","1,337.08","1,346.16","1,331.10","0.53%"
"2018년 02월 07일","1,337.17","1,336.78","1,347.76","1,328.78","0.03%"
"2018년 02월 06일","1,336.79","1,354.46","1,360.17","1,334.71","-1.27%"
"2018년 02월 05일","1,354.04","1,357.76","1,361.16","1,346.47","-0.31%"
"2018년 02월 02일","1,358.25","1,339.17","1,358.73","1,338.74","1.38%"
"2018년 02월 01일","1,339.74","1,328.40","1,341.94","1,327.20","0.80%"
"2018년 01월 31일","1,329.15","1,330.92","1,333.68","1,324.88","-0.14%"
"2018년 01월 30일","1,331.02","1,326.16","1,334.14","1,323.96","0.37%"
"2018년 01월 29일","1,326.11","1,323.01","1,328.80","1,319.17","0.28%"
"2018년 01월 26일","1,322.42","1,322.11","1,328.72","1,319.08","0.07%"
"2018년 01월 25일","1,321.54","1,320.86","1,328.47","1,312.53","0.01%"
"2018년 01월 24일","1,321.42","1,320.79","1,324.49","1,313.64","0.05%"
"2018년 01월 23일","1,320.78","1,311.31","1,322.93","1,308.88","0.72%"
"2018년 01월 22일","1,311.30","1,309.82","1,313.67","1,305.97","0.49%"
"2018년 01월 19일","1,304.85","1,309.61","1,311.66","1,302.84","-0.42%"
"2018년 01월 18일","1,310.37","1,300.74","1,312.58","1,298.81","0.74%"
"2018년 01월 17일","1,300.75","1,305.26","1,311.04","1,299.92","-0.35%"
"2018년 01월 16일","1,305.32","1,304.04","1,308.63","1,298.88","0.09%"
"2018년 01월 15일","1,304.09","1,292.99","1,308.04","1,287.85","0.95%"
"2018년 01월 12일","1,291.82","1,282.21","1,293.52","1,280.61","0.76%"
"2018년 01월 11일","1,282.10","1,278.41","1,286.27","1,275.09","0.28%"
"2018년 01월 10일","1,278.50","1,279.61","1,284.99","1,274.87","-0.09%"
"2018년 01월 09일","1,279.62","1,279.11","1,281.59","1,273.83","0.04%"
"2018년 01월 08일","1,279.11","1,278.68","1,289.65","1,276.18","0.11%"
"2018년 01월 05일","1,277.69","1,281.51","1,285.41","1,276.43","-0.33%"
"2018년 01월 04일","1,281.95","1,279.55","1,286.83","1,276.49","0.20%"
"2018년 01월 03일","1,279.35","1,281.72","1,286.92","1,276.79","-0.22%"
"2018년 01월 02일","1,282.13","1,280.98","1,284.65","1,275.16","0.09%"
"2018년 01월 01일","1,280.98","1,281.16","1,281.78","1,279.14","0.03%"
"2017년 12월 29일","1,280.64","1,278.21","1,285.55","1,274.04","0.19%"
"2017년 12월 28일","1,278.20","1,278.23","1,281.74","1,274.71","-0.00%"
"2017년 12월 27일","1,278.22","1,276.29","1,281.42","1,274.24","0.16%"
"2017년 12월 26일","1,276.12","1,277.71","1,281.28","1,273.62","-0.13%"
"2017년 12월 25일","1,277.77","1,278.07","1,283.13","1,274.42","-0.02%"
"2017년 12월 22일","1,278.04","1,283.09","1,283.51","1,273.43","-0.39%"
"2017년 12월 21일","1,282.98","1,282.57","1,287.42","1,278.84","0.01%"
"2017년 12월 20일","1,282.79","1,285.27","1,287.51","1,277.32","-0.21%"
"2017년 12월 19일","1,285.44","1,279.60","1,287.32","1,277.16","0.46%"
"2017년 12월 18일","1,279.53","1,279.90","1,285.52","1,278.17","-0.03%"
"2017년 12월 15일","1,279.96","1,282.89","1,287.94","1,278.52","-0.23%"
"2017년 12월 14일","1,282.88","1,282.59","1,293.10","1,281.80","0.02%"
"2017년 12월 13일","1,282.65","1,283.23","1,286.28","1,278.46","-0.05%"
"2017년 12월 12일","1,283.27","1,281.45","1,287.94","1,278.52","0.14%"
"2017년 12월 11일","1,281.45","1,286.17","1,289.46","1,281.04","-0.33%"
"2017년 12월 08일","1,285.68","1,287.33","1,291.21","1,282.26","-0.14%"
"2017년 12월 07일","1,287.49","1,290.46","1,294.45","1,286.96","-0.23%"
"2017년 12월 06일","1,290.47","1,286.22","1,297.19","1,284.57","0.33%"
"2017년 12월 05일","1,286.22","1,288.99","1,292.42","1,283.43","-0.22%"
"2017년 12월 04일","1,289.00","1,287.38","1,295.30","1,284.04","0.05%"
"2017년 12월 01일","1,288.36","1,295.31","1,297.71","1,285.31","-0.54%"
"2017년 11월 30일","1,295.32","1,282.18","1,296.33","1,281.38","1.04%"
"2017년 11월 29일","1,282.02","1,283.35","1,286.41","1,273.20","-0.12%"
"2017년 11월 28일","1,283.56","1,298.83","1,299.84","1,281.42","-1.18%"
"2017년 11월 27일","1,298.89","1,295.43","1,301.64","1,294.68","0.29%"
